,Time,Latitude,Longitude,Magnitude,Epicenter,Remarks,YYYY,MM,DD,Date
65,00:18,29.58,81.0,4.1,Bajhang,NEMRC/SC,2022,04,19,04/19/2022
66,10:54,27.9,87.86,4.2,Taplejung,NEMRC,2022,03,23,03/23/2022
67,10:07,29.7,80.71,4.1,Baitadi,NEMRC,2022,02,22,02/22/2022
68,11:09,27.9,84.57,4.1,Gorkha,NEMRC,2022,01,26,01/26/2022
69,00:58,27.98,85.58,4.1,Sindhupalchok,NEMRC,2022,01,21,01/21/2022
70,18:29,28.68,82.97,4.2,Rukum East,NEMRC/SC,2022,01,06,01/06/2022
71,10:31,27.67,86.32,4.2,Dolakha,NEMRC,2022,01,05,01/05/2022
72,08:43,27.87,85.92,4.1,Sindhupalchok,NEMRC,2021,11,09,11/09/2021
73,14:45,28.29,84.36,4.1,Lamjung,NEMRC,2021,10,25,10/25/2021
74,09:38,27.86,85.82,4.0,Sindhupalchok,NEMRC,2021,10,18,10/18/2021
75,09:35,27.85,85.81,4.1,Sindhupalchok,NEMRC,2021,10,18,10/18/2021
76,08:11,27.92,85.81,4.7,Sindhupalchok,NEMRC,2021,10,18,10/18/2021
77,08:01,27.92,85.8,4.7,Sindhupalchok,NEMRC,2021,10,18,10/18/2021
78,22:24,28.18,84.93,4.3,Gorkha,NEMRC,2021,10,16,10/16/2021
79,14:28,27.91,85.81,4.1,Sindhupalchowk,NEMRC,2021,10,02,10/02/2021
80,14:13,27.92,85.81,4.6,Sindhupalchowk,NEMRC,2021,10,02,10/02/2021
81,07:09,27.71,85.92,4.2,Sindhupalchowk,NEMRC,2021,10,01,10/01/2021
82,06:27,27.91,85.8,4.5,Sindhupalchowk,NEMRC,2021,09,25,09/25/2021
83,10:45,29.89,80.59,4.2,"Kharra, Darchula",NEMRC/SC,2021,09,20,09/20/2021
84,14:56,27.64,86.1,4.3,Dolakha,NEMRC,2021,09,12,09/12/2021
85,20:38,29.61,81.01,4.0,Bajhang,NEMRC/SC,2021,08,23,08/23/2021
86,04:09,26.98,86.69,4.3,Udayapur,NEMRC,2021,08,12,08/12/2021
87,13:12,27.28,86.9,4.2,Khotang,NEMRC,2021,07,23,07/23/2021
88,15:14,28.98,81.47,4.3,Dailekh,NEMRC/SC,2021,07,18,07/18/2021
89,10:12,28.13,84.56,4.2,Lamjung,NEMRC,2021,07,07,07/07/2021
90,16:17,29.79,81.59,4.1,Bajhang/Bajura,NEMRC/SC,2021,07,02,07/02/2021
91,08:35,27.3,87.26,4.0,Sankhuwasabha,NEMRC,2021,06,29,06/29/2021
92,16:54,28.24,84.41,4.5,Lamjung,NEMRC,2021,05,19,05/19/2021
93,15:38,28.27,84.42,4.0,Lamjung,NEMRC,2021,05,19,05/19/2021
94,02:41,28.27,84.4,5.3,Lamjung,NEMRC,2021,05,19,05/19/2021
95,02:32,28.26,84.36,4.1,Lamjung,NEMRC,2021,05,19,05/19/2021
96,02:31,28.26,84.35,4.0,Lamjung,NEMRC,2021,05,19,05/19/2021
97,23:57,28.28,84.39,5.8,Lamjung,NEMRC,2021,05,18,05/18/2021
98,15:19,26.75,89.09,5.8,"Binnaguri, India",NEMRC,2021,04,05,04/05/2021
99,04:20,27.5,85.63,4.1,Kavrepalanchok,NEMRC,2021,03,18,03/18/2021
100,12:58,27.79,86.35,4.2,Dolakha,NEMRC,2021,03,03,03/03/2021
101,01:50,27.89,87.91,5.4,Taplejung,NEMRC,2021,02,09,02/09/2021
102,22:13,27.78,88.15,4.5,Taplejung,NEMRC,2021,02,04,02/04/2021
103,16:14,28.78,84.1,5.3,Manang,NEMRC,2021,02,02,02/02/2021
104,11:40,27.66,86.18,4.0,Dolakha,NEMRC,2021,01,14,01/14/2021
105,04:03,29.89,80.7,4.2,Darchula,NEMRC/SC,2021,01,12,01/12/2021
106,04:59,27.66,87.62,4.4,Taplejung,NEMRC,2021,01,03,01/03/2021
107,20:04,27.66,86.34,4.6,Ramechhap,NEMRC,2020,12,29,12/29/2020
108,13:23,27.77,87.86,4.2,Taplejung,NEMRC,2020,12,08,12/08/2020
109,07:57,27.75,85.87,4.2,Sindhupalchok,NEMRC,2020,12,02,12/02/2020
110,21:44,27.73,87.87,4.9,Taplejung,NEMRC,2020,11,08,11/08/2020
111,18:34,29.58,80.81,4.2,Bajhang,NEMRC/SC,2020,10,28,10/28/2020
112,10:32,27.62,86.24,4.0,Dolakha,NEMRC,2020,10,24,10/24/2020
113,23:34,27.77,85.88,6.0,Sindhupalchowk,NEMRC,2020,09,15,09/15/2020
114,03:45,26.76,88.21,5.0,Nepal India  Border,NEMRC,2020,09,11,09/11/2020
115,10:03,27.92,84.94,4.0,Dhading,NSC,2020,09,09,09/09/2020
116,01:35,27.58,87.19,4.0,Sankhuwasabha,NSC,2020,09,04,09/04/2020
117,15:24,29.59,80.89,4.7,Bajhang,NSC/RSC,2020,08,25,08/25/2020
118,10:22,27.8,87.62,4.2,Sankhuwasabha,NSC,2020,08,15,08/15/2020
119,04:08,27.88,86.2,4.1,Dolakha,NSC,2020,06,16,06/16/2020
120,15:51,27.85,84.93,4.8,Dhading,NSC,2020,05,30,05/30/2020
121,10:15,29.73,82.01,4.2,Humla/Mugu,NSC/RSC,2020,05,26,05/26/2020
122,18:08,27.65,86.15,5.3,Dolakha,NSC,2020,05,12,05/12/2020
123,19:10,27.55,86.59,4.7,Solukhumbu,NSC,2020,04,15,04/15/2020
124,15:10,29.58,80.96,4.0,Bajhang,NSC/RSC,2020,04,02,04/02/2020
125,12:51,28.01,84.97,4.0,Dhading,NSC,2020,03,25,03/25/2020
126,15:00,28.34,83.8,5.0,Kaski,NSC,2020,03,15,03/15/2020
127,13:32,27.79,86.18,4.3,Dolakha,NSC,2020,03,04,03/04/2020
128,15:28,29.71,81.69,4.3,Bajura/Humla,NSC/RSC,2020,02,19,02/19/2020
129,02:14,29.61,81.71,4.2,Bajura,NSC/RSC,2020,01,28,01/28/2020
130,20:22,29.59,81.73,4.2,Bajura,NSC/RSC,2020,01,12,01/12/2020
131,14:34,29.58,81.71,4.5,Bajura,NSC/RSC,2020,01,12,01/12/2020
132,13:26,27.95,85.59,4.8,Sindhupalchowk,NSC,2019,12,12,12/12/2019
133,16:23,27.79,85.79,5.0,Sindhupalchowk,NSC,2019,11,27,11/27/2019
134,13:30,29.42,81.1,5.7,Bajhang,NSC/RSC,2019,11,19,11/19/2019
135,02:00,30.2,80.1,4.6,India,NSC/RSC,2019,11,12,11/12/2019
136,22:06,28.45,83.23,4.5,Baglung,NSC,2019,10,31,10/31/2019
137,13:42,29.66,82.04,4.1,Mugu,NSC/RSC,2019,10,28,10/28/2019
138,05:21,26.88,86.59,4.1,Udayapur,NSC,2019,10,22,10/22/2019
139,19:24,27.82,87.98,4.2,Taplejung,NSC,2019,10,20,10/20/2019
140,01:42,28.66,83.06,4.4,Rukum/Baglung border,NSC,2019,09,29,09/29/2019
141,04:58,30.0,81.45,4.3,Bajhang/Humla border,RSC/NSC,2019,09,28,09/28/2019
142,13:04,28.28,84.65,4.7,Gorkha/Lamjung border,NSC,2019,09,26,09/26/2019
143,19:33,27.71,86.32,4.0,Dolakha,NSC,2019,09,25,09/25/2019
144,16:16,28.25,84.49,4.4,Lamjung,NSC,2019,09,22,09/22/2019
145,00:34,28.15,84.61,4.0,Gorkha,NSC,2019,09,21,09/21/2019
146,04:08,28.21,84.49,4.5,Lamjung,NSC,2019,09,17,09/17/2019
147,14:33,29.8,80.48,4.4,Darchula(Nepal-India Border),NSC/RSC,2019,09,16,09/16/2019
148,05:09,30.3,81.74,5.0,Humla,RSC/NSC,2019,09,15,09/15/2019
149,01:22,27.52,86.39,4.0,Solukhumbu,NSC,2019,08,22,08/22/2019
150,17:24,27.69,86.26,4.3,Dolakha,NSC,2019,08,14,08/14/2019
151,12:41,28.5,83.22,4.7,Myagdi,NSC,2019,08,09,08/09/2019
152,12:13,27.8,86.15,4.2,Dolakha,NSC,2019,07,24,07/24/2019
153,10:30,27.67,85.42,4.6,Bhaktapur,NSC,2019,07,06,07/06/2019
